CustomerId,Profit,Recency,Frequency,Monetary,Variance,labels,Type
467,6,14,1,49.99,1,3,New customer
468,130,3,12,2930.69,10,3,New customer
469,154,12,14,2645.32,9,3,New customer
470,376,6,14,21975.86,31,0,Regular customer
471,171,40,7,4858.63,9,1,Inactive customer
472,870,33,10,4833.89,3,1,Inactive customer
473,134,6,7,5241.53,14,3,New customer
474,183,5,12,4466.03,10,3,New customer
475,70,12,3,1661.71,4,3,New customer
476,12,5,1,107.4,1,3,New customer
477,432,4,21,23142.45,20,0,Regular customer
478,851,2,26,30530.76,13,0,Regular customer
479,336,75,1,6340.32,1,1,Inactive customer
480,61,34,2,3290.22,8,1,Inactive customer
481,5505,41,10,87831.89,15,1,Inactive customer
482,380,6,13,16528.76,21,3,New customer
483,271,11,6,2905.96,6,3,New customer
484,92,10,2,871.2,3,3,New customer
485,171,19,4,7700.66,14,3,New customer
486,578,3,37,17547.96,27,0,Regular customer
487,370,7,12,21693.72,32,0,Regular customer
488,1557,3,11,79169.46,24,3,New customer
489,212,9,11,3593.68,17,3,New customer
490,47,7,5,776.72,4,3,New customer
491,155,4,19,4336.95,10,3,New customer
492,57,27,5,2288.13,10,3,New customer
493,36,14,3,322.2,2,3,New customer
494,30,10,1,203.1,1,3,New customer
495,10,33,2,381.8,2,1,Inactive customer
496,360,9,8,31131.89,20,3,New customer
497,419,12,7,17589.11,16,3,New customer
498,96,2,7,5026.9,15,3,New customer
499,213,5,8,4177.31,14,3,New customer
500,63,21,3,1901.06,7,3,New customer
501,648,3,26,23444.79,40,0,Regular customer
502,903,4,26,47556.92,47,0,Regular customer
503,69,18,3,1050.7,7,3,New customer
504,346,4,22,9771.68,23,0,Regular customer
505,13,10,1,325.86,2,3,New customer
506,1559,2,16,76179.43,55,0,Regular customer
507,197,33,3,3230.55,4,1,Inactive customer
508,132,6,11,4366.29,10,3,New customer
509,43,5,9,494.82,7,3,New customer
510,327,11,11,9974.5,16,3,New customer
511,292,7,19,10002.14,22,0,Regular customer
512,80,55,3,3372.32,5,1,Inactive customer
513,9,4,3,284.41,4,3,New customer
514,885,5,17,57228.6,45,0,Regular customer
515,90,41,6,1678.71,6,1,Inactive customer
516,76,5,8,878.37,6,3,New customer
517,1466,3,16,66393.86,58,0,Regular customer
518,191,77,1,33337.59,19,1,Inactive customer
519,609,7,18,26350.22,28,0,Regular customer
520,849,11,6,22226.01,16,3,New customer
521,183,13,6,2669.25,5,3,New customer
522,1227,4,20,55441.15,53,0,Regular customer
523,257,3,9,11715.4,19,3,New customer
524,130,19,6,2640.09,5,3,New customer
525,437,7,22,7043.44,14,0,Regular customer
526,61,12,10,1216.07,6,3,New customer
527,373,40,2,8154.03,6,1,Inactive customer
528,323,4,14,12431.73,16,3,New customer
529,173,13,9,4463.7,7,3,New customer
530,738,4,13,41817.35,32,0,Regular customer
531,85,7,9,1401.02,8,3,New customer
532,209,5,17,6589.21,14,3,New customer
533,278,4,14,9236.72,27,0,Regular customer
534,181,11,8,2517.43,4,3,New customer
